publication,date,headline,ideology_score,ideology_confidence,sentiment_score,sentiment_confidence,emotionality,topic_area,ideology_baseline,ideology_numeric,ideology_baseline_confidence,sentiment_pos,sentiment_neg,sentiment_neu,year,month,quarter
Fox News,2013-01-01,Energy Independence Sacrificed for Green New Deal in Latest Development,right,0.4665169640663819,0.2732,0.2732,0.2732,climate,right,1.0,0.4665169640663819,0.189,0.0,0.811,2013,2013-01,2013Q1
Fox News,2013-01-01,Trump Rally Draws Massive Crowds Across Nation Sources Say,left,0.685186383010737,0.0,0.0,0.0,politics,left,-1.0,0.685186383010737,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-01,Healthcare Reform Battle Heats Up in Congress as Tensions Rise,left,0.5946530093505057,-0.6486,0.6486,0.6486,politics,left,-1.0,0.5946530093505057,0.0,0.398,0.602,2013,2013-01,2013Q1
CNN,2013-01-01,Economy Shows Signs of Recovery Amid Pandemic - Report,left,0.3940815203708913,0.0,0.0,0.0,economy,left,-1.0,0.3940815203708913,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-01,How Misinformation Became a Public Health Crisis,left,0.4909180618641479,-0.7506,0.7506,0.7506,healthcare,left,-1.0,0.4909180618641479,0.0,0.561,0.439,2013,2013-01,2013Q1
Washington Post,2013-01-01,Investigation: Corporate Lobbying Undermines Environmental Rules Amid Growing Concerns,left,0.5352934806227044,-0.25,0.25,0.25,climate,left,-1.0,0.5352934806227044,0.149,0.325,0.526,2013,2013-01,2013Q1
Washington Post,2013-01-01,The Quiet Crisis: How Climate Change Is Reshaping American Cities Sources Say,left,0.7140334985306996,-0.6249,0.6249,0.6249,climate,left,-1.0,0.7140334985306996,0.0,0.272,0.728,2013,2013-01,2013Q1
New York Times,2013-01-01,Climate Scientists Issue Urgent Warning on Tipping Points,left,0.4233758982593848,-0.1531,0.1531,0.1531,climate,left,-1.0,0.4233758982593848,0.176,0.235,0.588,2013,2013-01,2013Q1
Fox News,2013-01-01,Trump Rally Draws Massive Crowds Across Nation | Opinion,right,0.5182795445184968,0.0,0.0,0.0,politics,right,1.0,0.5182795445184968,0.0,0.0,1.0,2013,2013-01,2013Q1
Fox News,2013-01-01,Trump Rally Draws Massive Crowds Across Nation - Report,right,0.5719937630035815,0.0,0.0,0.0,politics,right,1.0,0.5719937630035815,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-02,Economy Shows Signs of Recovery Amid Pandemic Amid Growing Concerns,left,0.5205149796844589,0.1779,0.1779,0.1779,economy,left,-1.0,0.5205149796844589,0.159,0.0,0.841,2013,2013-01,2013Q1
Washington Post,2013-01-02,Global Democracy in Retreat as Authoritarianism Rises,left,0.4588269331311418,0.2023,0.2023,0.2023,other,left,-1.0,0.4588269331311418,0.231,0.0,0.769,2013,2013-01,2013Q1
CNN,2013-01-03,Breaking: Climate Change Report Warns of Dire Consequences Sources Say,left,0.6134272134015051,-0.5267,0.5267,0.5267,climate,left,-1.0,0.6134272134015051,0.0,0.355,0.645,2013,2013-01,2013Q1
Washington Post,2013-01-03,Fact Checker: Political Claims on Immigration Miss the Mark,left,0.5502056638094783,-0.1531,0.1531,0.1531,politics,left,-1.0,0.5502056638094783,0.0,0.167,0.833,2013,2013-01,2013Q1
New York Times,2013-01-03,Inside the Growing Movement to Restrict Abortion Access - Report,left,0.6170006456275315,-0.2263,0.2263,0.2263,social_issues,left,-1.0,0.6170006456275315,0.138,0.211,0.65,2013,2013-01,2013Q1
New York Times,2013-01-03,Immigration Reform Remains Elusive Despite Bipartisan Support,left,0.5796443016137922,-0.3089,0.3089,0.3089,politics,left,-1.0,0.5796443016137922,0.0,0.273,0.727,2013,2013-01,2013Q1
Fox News,2013-01-03,Law Enforcement Officers Demoralized by Defund Movement in Latest Development,right,0.5488664613154205,-0.3818,0.3818,0.3818,foreign_policy,right,1.0,0.5488664613154205,0.0,0.224,0.776,2013,2013-01,2013Q1
Washington Post,2013-01-04,Wealth Gap Between Richest and Poorest Americans Hits Record,left,0.5207362933528115,0.4767,0.4767,0.4767,other,left,-1.0,0.5207362933528115,0.41,0.217,0.373,2013,2013-01,2013Q1
Fox News,2013-01-04,Cancel Culture Claims Another Victim (Updated),right,0.5983231920208454,-0.4767,0.4767,0.4767,technology,right,1.0,0.5983231920208454,0.0,0.506,0.494,2013,2013-01,2013Q1
Washington Post,2013-01-04,The Filibuster Debate: What's Really at Stake in Latest Development,left,0.48200301773748405,0.0,0.0,0.0,other,left,-1.0,0.48200301773748405,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-05,January 6 Committee Releases Damning Findings as Tensions Rise,left,0.42573648011838966,-0.6249,0.6249,0.6249,other,left,-1.0,0.42573648011838966,0.0,0.421,0.579,2013,2013-01,2013Q1
Washington Post,2013-01-05,Investigation: Corporate Lobbying Undermines Environmental Rules,left,0.5591459147607054,-0.4019,0.4019,0.4019,climate,left,-1.0,0.5591459147607054,0.0,0.481,0.519,2013,2013-01,2013Q1
Washington Post,2013-01-05,Wealth Gap Between Richest and Poorest Americans Hits Record,left,0.5207362933528115,0.4767,0.4767,0.4767,other,left,-1.0,0.5207362933528115,0.41,0.217,0.373,2013,2013-01,2013Q1
CNN,2013-01-05,Trump Administration Faces Backlash Over Immigration Policy as Tensions Rise,center,0.42764820813151133,-0.4019,0.4019,0.4019,politics,center,0.0,0.42764820813151133,0.0,0.231,0.769,2013,2013-01,2013Q1
Fox News,2013-01-05,Small Business Owners Crushed by New Regulations in Latest Development,right,0.4749149917730737,-0.4215,0.4215,0.4215,economy,right,1.0,0.4749149917730737,0.0,0.237,0.763,2013,2013-01,2013Q1
New York Times,2013-01-05,Inside the Growing Movement to Restrict Abortion Access (Updated),left,0.7196244967580457,-0.2263,0.2263,0.2263,social_issues,left,-1.0,0.7196244967580457,0.15,0.23,0.619,2013,2013-01,2013Q1
CNN,2013-01-05,COVID-19 Vaccine Rollout Faces Distribution Challenges,right,0.495271070632044,0.0772,0.0772,0.0772,healthcare,right,1.0,0.495271070632044,0.206,0.0,0.794,2013,2013-01,2013Q1
Fox News,2013-01-05,Big Tech Censorship of Conservative Voices Continues,right,0.4648989786989323,0.0,0.0,0.0,technology,right,1.0,0.4648989786989323,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-05,Voting Rights Act Protections Weakened by Court Rulings as Tensions Rise,left,0.4705741942041518,-0.6124,0.6124,0.6124,social_issues,left,-1.0,0.4705741942041518,0.0,0.357,0.643,2013,2013-01,2013Q1
New York Times,2013-01-06,The Struggle for Affordable Housing in America's Cities (Updated),left,0.4252915567771509,-0.3182,0.3182,0.3182,other,left,-1.0,0.4252915567771509,0.0,0.223,0.777,2013,2013-01,2013Q1
New York Times,2013-01-06,Climate Scientists Issue Urgent Warning on Tipping Points,left,0.4233758982593848,-0.1531,0.1531,0.1531,climate,left,-1.0,0.4233758982593848,0.176,0.235,0.588,2013,2013-01,2013Q1
CNN,2013-01-06,Gun Violence Epidemic Sparks Renewed Calls for Action,left,0.45208439481770346,-0.7579,0.7579,0.7579,crime,left,-1.0,0.45208439481770346,0.0,0.52,0.48,2013,2013-01,2013Q1
